,vid_id,ad_view
0,VID_1054,1340.878
1,VID_18629,3370.7
2,VID_13967,14.648
3,VID_19442,653.142
4,VID_770,6101.116
5,VID_10315,11.934
6,VID_7417,18.74
7,VID_17788,5232.118
8,VID_14591,24.644
9,VID_1228,85.68
10,VID_10153,336.644
11,VID_5667,39.6
12,VID_22775,2983.15
13,VID_8353,966.87
14,VID_486,16.746
15,VID_17460,65.06
16,VID_5867,1146.986
17,VID_15951,5.034
18,VID_14890,4388.85
19,VID_7219,312.138
20,VID_20045,780.538
21,VID_11874,455.114
22,VID_1208,11314.576
23,VID_4529,296.812
24,VID_6793,570.752
25,VID_18254,1549.218
26,VID_11155,12.764
27,VID_12257,10.926
28,VID_4207,5.15
29,VID_23276,9.708
30,VID_18261,404.828
31,VID_11536,1966.334
32,VID_6429,26.59
33,VID_9277,5569.034
34,VID_517,11.48
35,VID_11291,235.018
36,VID_11265,3347.644
37,VID_632,868.376
38,VID_13587,68.112
39,VID_16439,30073.956
40,VID_14888,643.752
41,VID_3207,42.83
42,VID_9352,205.766
43,VID_3286,19.9
44,VID_19592,1196.404
45,VID_15582,4.186
46,VID_15269,2103.998
47,VID_5703,648.106
48,VID_22315,102.952
49,VID_14939,11.956
50,VID_18277,888.734
51,VID_1684,754.548
52,VID_14842,1091.56
53,VID_635,382.01
54,VID_19621,285.942
55,VID_2006,15.78
56,VID_2427,691.352
57,VID_3232,13.87
58,VID_17944,9083.502
59,VID_19507,89.768
60,VID_6745,10.268
61,VID_8446,2509.234
62,VID_17593,14.06
63,VID_21611,1891.846
64,VID_16242,208.776
65,VID_23409,60.85
66,VID_22950,3985.648
67,VID_15401,537.292
68,VID_7634,7.856
69,VID_4283,574.606
70,VID_20020,29.674
71,VID_13334,3866.716
72,VID_17504,1779.388
73,VID_22854,111.21
74,VID_4396,19.786
75,VID_7426,11.442
76,VID_1941,1119.578
77,VID_22447,1655.828
78,VID_13156,7.8
79,VID_6361,35.436
80,VID_1601,1156.724
81,VID_5787,1070.914
82,VID_15044,1787.6
83,VID_18511,4081.67
84,VID_17965,3758.756
85,VID_20023,4576.204
86,VID_20294,1016.882
87,VID_4284,2.834
88,VID_6333,18.194
89,VID_4459,7.302
90,VID_7896,280.248
91,VID_14003,45.182
92,VID_22518,2340.116
93,VID_12272,2098.846
94,VID_1002,613.628
95,VID_2801,12.67
96,VID_85,1021.18
97,VID_17535,16.052
98,VID_16710,78.904
99,VID_7899,3030.576
100,VID_3336,17.246
101,VID_966,3472.064
102,VID_15920,2026.008
103,VID_9048,10.69
104,VID_10819,3464.318
105,VID_9004,605.642
106,VID_8038,1053.218
107,VID_22273,17.172
108,VID_9597,3561.394
109,VID_405,12.966
110,VID_6857,57.144
111,VID_745,24.656
112,VID_22181,1781.316
113,VID_2452,3809.622
114,VID_16534,15.42
115,VID_8504,1759.182
116,VID_6211,398.926
117,VID_7421,8.266
118,VID_19004,3168.28
119,VID_21560,3494.482
120,VID_6904,364.934
121,VID_10068,8.678
122,VID_3831,309.312
123,VID_523,146.482
124,VID_21181,264.344
125,VID_9556,9343.014
126,VID_1140,7576.362
127,VID_18078,8.68
128,VID_13326,1925.45
129,VID_21883,2339.782
130,VID_18044,891.666
131,VID_11715,12.614
132,VID_7741,10.732
133,VID_23167,1489.84
134,VID_4147,1071.052
135,VID_12377,143.238
136,VID_16014,10.134
137,VID_21928,8.478
138,VID_22002,43.328
139,VID_19194,84.582
140,VID_17892,386.842
141,VID_19234,200.972
142,VID_1790,2177.714
143,VID_7878,11.112
144,VID_6945,321.656
145,VID_17600,1103.024
146,VID_7502,13.714
147,VID_11761,435.76
148,VID_578,13.9
149,VID_2068,74.224
150,VID_10591,848.558
151,VID_1300,2394.428
152,VID_2950,201.158
153,VID_12930,1228.714
154,VID_22247,4267.702
155,VID_4330,9.782
156,VID_14398,2339.524
157,VID_8506,18412.104
158,VID_12462,8.36
159,VID_21697,16266.292
160,VID_14574,17.264
161,VID_14171,9352.718
162,VID_22620,626.452
163,VID_5642,85.416
164,VID_12689,8.868
165,VID_3676,44.972
166,VID_23515,1056.838
167,VID_11336,685.4
